title,description,url,date,domain,text
Wonderfully Simple Graphic Design Software,DesignWizard is a Wonderfully Simple FREE Graphic Design Software. Create Stunning Content in Seconds! Unleash Your Creativity. Become a DesignWizard NOW!,https://www.designwizard.com/,,www.designwizard.com,Wonderfully Simple Graphic Design Software DesignWizard is a Wonderfully Simple FREE Graphic Design Software. Create Stunning Content in Seconds! Unleash Your Creativity. Become a DesignWizard NOW!
How to install the Trac project management tool on Ubuntu 16.04,Trac is a basic ticket system and project management tool. Here's a look at the process of installing this handy tool on Ubuntu Server.,https://www.techrepublic.com/article/how-to-install-the-trac-project-management-tool-on-ubuntu-16-04/,2018-05-30 00:00:00,www.techrepublic.com,How to install the Trac project management tool on Ubuntu 16.04 Trac is a basic ticket system and project management tool. Here's a look at the process of installing this handy tool on Ubuntu Server.
New Amazon class certifies cloud pros in securing data on AWS,The AWS Certified Security - Specialty Exam could help tech professionals broaden their skills on the AWS platform.,https://www.techrepublic.com/article/new-amazon-class-certifies-cloud-pros-in-securing-data-on-aws/,2018-04-24 00:00:00,www.techrepublic.com,New Amazon class certifies cloud pros in securing data on AWS The AWS Certified Security - Specialty Exam could help tech professionals broaden their skills on the AWS platform.
How to set up a Gitstorage appliance for in-house code collaboration,"If you're looking for an easy solution to house and collaborate on code, and you don't have the resources to setup a Git server, Gitstorage could be your best bet.",https://www.techrepublic.com/article/how-to-setup-a-gitstorage-appliance-for-in-house-code-collaboration/,2018-05-30 00:00:00,www.techrepublic.com,"How to set up a Gitstorage appliance for in-house code collaboration If you're looking for an easy solution to house and collaborate on code, and you don't have the resources to setup a Git server, Gitstorage could be your best bet."
"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise","The platform will also optimize for AI-powered AR experiences, and help with battery life.",https://www.techrepublic.com/article/qualcomm-xr1-chip-could-bring-faster-cheaper-arvr-to-the-enterprise/,2018-05-30 00:00:00,www.techrepublic.com,"Qualcomm XR1 chip could bring faster, cheaper AR/VR to the enterprise The platform will also optimize for AI-powered AR experiences, and help with battery life."
Why are companies moving to the cloud? 81% simply fear 'missing out',A new report from Commvault shows that IT executives are concerned about missing out on cloud advancements in their business.,http://www.techrepublic.com/article/why-are-companies-moving-to-the-cloud-81-simply-fear-missing-out/,2017-08-14 00:00:00,www.techrepublic.com,Why are companies moving to the cloud? 81% simply fear 'missing out' A new report from Commvault shows that IT executives are concerned about missing out on cloud advancements in their business.
How to request your personal data under GDPR,"A subject access request will require any company to turn over data it has collected on you, and it's pretty simple to do.",https://www.techrepublic.com/article/how-to-request-your-personal-data-under-gdpr/,2018-04-24 00:00:00,www.techrepublic.com,"How to request your personal data under GDPR A subject access request will require any company to turn over data it has collected on you, and it's pretty simple to do."
5 data protection policies your employees must know in the post-GDPR era,"Here are the policies that businesses must have in place to remain GDPR compliant, and meet best practices for data privacy.",https://www.techrepublic.com/article/5-data-protection-policies-your-employees-must-know-in-the-post-gdpr-era/,2018-07-03 00:00:00,www.techrepublic.com,"5 data protection policies your employees must know in the post-GDPR era Here are the policies that businesses must have in place to remain GDPR compliant, and meet best practices for data privacy."
Why a cloud-friendly Java could finally be possible with Jakarta EE,"Under the auspices of the Eclipse Foundation, Java developers are demanding more cloud, and are likely to get their wish.",https://www.techrepublic.com/article/why-a-cloud-friendly-java-could-finally-be-possible-with-jakarta-ee/,2018-04-18 00:00:00,www.techrepublic.com,"Why a cloud-friendly Java could finally be possible with Jakarta EE Under the auspices of the Eclipse Foundation, Java developers are demanding more cloud, and are likely to get their wish."
"Report: 32% of IT pros plan to switch jobs in 2018, most for better pay and training","IT workers planning to change jobs are seeking higher salaries, skills advancement, and companies that prioritize IT, according to a Spiceworks report.",https://www.techrepublic.com/article/report-32-of-it-pros-plan-to-switch-jobs-in-2018-most-for-better-pay-and-training/,2017-12-11 00:00:00,www.techrepublic.com,"Report: 32% of IT pros plan to switch jobs in 2018, most for better pay and training IT workers planning to change jobs are seeking higher salaries, skills advancement, and companies that prioritize IT, according to a Spiceworks report."
How to protect your company from tax season phishing scams,A current rash of phishing attacks involves obtaining W-2 forms. Here are some ways IT pros can help prevent data loss and make users aware of the threats.,https://www.techrepublic.com/article/how-to-protect-your-company-from-tax-season-phishing-scams/,2018-03-19 00:00:00,www.techrepublic.com,How to protect your company from tax season phishing scams A current rash of phishing attacks involves obtaining W-2 forms. Here are some ways IT pros can help prevent data loss and make users aware of the threats.
"HTC VIVE announces price for the VIVE Pro VR headset, opens preorders",The new HTC VIVE Pro will be priced at $799 and can be preordered today for early April shipment. The price of the original VIVE is dropping to $499.,https://www.techrepublic.com/article/htc-vive-announces-price-for-the-vive-pro-vr-headset-opens-preorders/,2018-03-19 00:00:00,www.techrepublic.com,"HTC VIVE announces price for the VIVE Pro VR headset, opens preorders The new HTC VIVE Pro will be priced at $799 and can be preordered today for early April shipment. The price of the original VIVE is dropping to $499."
Are smart locks secure? AV-TEST has the answer,Consumers and professionals have questioned whether smart locks are secure; AV-TEST tested six smart locks to find out if those concerns are justified. Find out what the tests revealed.,https://www.techrepublic.com/article/are-smart-locks-secure-av-test-has-the-answer/,2017-12-10 00:00:00,www.techrepublic.com,Are smart locks secure? AV-TEST has the answer Consumers and professionals have questioned whether smart locks are secure; AV-TEST tested six smart locks to find out if those concerns are justified. Find out what the tests revealed.
Top 5: Things AI might actually be good for,"It's easy to dismiss AI as a buzz phrase or just a marketing term, and in some cases it is. But here are five situations where AI can be helpful.",https://www.techrepublic.com/article/top-5-things-ai-might-actually-be-good-for/,2018-02-02 00:00:00,www.techrepublic.com,"Top 5: Things AI might actually be good for It's easy to dismiss AI as a buzz phrase or just a marketing term, and in some cases it is. But here are five situations where AI can be helpful."
How 5G will power innovations in VR and artificial intelligence,"Manish Vyas, president of business communication at Tech Mahindra, spoke with TechRepublic about the power of 5G to change the way we live and work, as well as some of the challenges to rolling it out.",https://www.techrepublic.com/article/how-5g-will-power-innovations-in-vr-and-artificial-intelligence/,2018-04-19 00:00:00,www.techrepublic.com,"How 5G will power innovations in VR and artificial intelligence Manish Vyas, president of business communication at Tech Mahindra, spoke with TechRepublic about the power of 5G to change the way we live and work, as well as some of the challenges to rolling it out."
Five programming languages with hidden flaws vulnerable to hackers,"Even if developers go above and beyond to avoid flaws that can be exploited by hackers, attackers can often still take advantage of bugs in the design of the underlying programming language.",https://www.techrepublic.com/article/five-programming-languages-with-hidden-flaws-vulnerable-to-hackers/,2017-03-13 00:00:00,www.techrepublic.com,"Five programming languages with hidden flaws vulnerable to hackers Even if developers go above and beyond to avoid flaws that can be exploited by hackers, attackers can often still take advantage of bugs in the design of the underlying programming language."
How the blockchain could help build a decentralized media economy,"Jarrod Dicker, CEO of Po.et, explained how blockchain tech could revolutionize the news industry, help eliminate fake news, and enhance trust in social media.",https://www.techrepublic.com/article/how-the-blockchain-could-help-build-a-decentralized-media-economy/,2018-02-28 00:00:00,www.techrepublic.com,"How the blockchain could help build a decentralized media economy Jarrod Dicker, CEO of Po.et, explained how blockchain tech could revolutionize the news industry, help eliminate fake news, and enhance trust in social media."
Windows 10 wishlist: Five gripes Microsoft needs to take seriously,Microsoft needs to stop trying to coerce users and control how they use their computer.,https://www.techrepublic.com/article/windows-10-wishlist-five-gripes-microsoft-needs-to-take-seriously/,2017-10-24 00:00:00,www.techrepublic.com,Windows 10 wishlist: Five gripes Microsoft needs to take seriously Microsoft needs to stop trying to coerce users and control how they use their computer.
The top 5 iPhone X gestures every user should know,iPhone X requires new gestures to interact with the Home Screen and apps. This tutorial shows you the top gestures that every iPhone X owner needs to know to take advantage of the Apple mobile device.,https://www.techrepublic.com/article/the-top-5-iphone-x-gestures-every-user-should-know/,2017-11-12 00:00:00,www.techrepublic.com,The top 5 iPhone X gestures every user should know iPhone X requires new gestures to interact with the Home Screen and apps. This tutorial shows you the top gestures that every iPhone X owner needs to know to take advantage of the Apple mobile device.
"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars","A year-long experiment will send a highly sophisticated computing system, via the SpaceX Dragon Spacecraft, to the ISS. The ultimate goal is aiding astronauts on a trip to Mars.",http://www.techrepublic.com/article/hpe-and-nasa-experiment-with-spaceborne-computer-a-supercomputer-that-could-help-us-get-to-mars/,2017-08-14 00:00:00,www.techrepublic.com,"HPE and NASA experiment with 'Spaceborne Computer,' a supercomputer that could help us get to Mars A year-long experiment will send a highly sophisticated computing system, via the SpaceX Dragon Spacecraft, to the ISS. The ultimate goal is aiding astronauts on a trip to Mars."
Apple's FileVault 2 encryption program: A cheat sheet,"FileVault 2, Apple's encryption program, offers data protection for the whole disk in an efficient method that is simple to implement and seamless to the user. Learn more about Apple's FileVault 2.",https://www.techrepublic.com/article/apples-filevault-2-encryption-program-a-cheat-sheet/,2018-03-19 00:00:00,www.techrepublic.com,"Apple's FileVault 2 encryption program: A cheat sheet FileVault 2, Apple's encryption program, offers data protection for the whole disk in an efficient method that is simple to implement and seamless to the user. Learn more about Apple's FileVault 2."
How Google Fiber turned 2017 into its comeback year,"After ending 2016 with its future in jeopardy, Google Fiber began shallow trenching and launched in three new cities during 2017. Still, questions remain",https://www.techrepublic.com/article/how-google-fiber-turned-2017-into-its-comeback-year/,2017-10-18 00:00:00,www.techrepublic.com,"How Google Fiber turned 2017 into its comeback year After ending 2016 with its future in jeopardy, Google Fiber began shallow trenching and launched in three new cities during 2017. Still, questions remain"
"What is hyperconverged infrastructure, and why should you care?","There was already converged infrastructure. Now there's hyperconverged infrastructure, which adds the software layer. Do you need it? Analyst Zeus Kerravala shares his opinion on HCI.",https://www.techrepublic.com/article/what-is-hyperconverged-infrastructure-and-why-you-should-care/,2017-08-28 00:00:00,www.techrepublic.com,"What is hyperconverged infrastructure, and why should you care? There was already converged infrastructure. Now there's hyperconverged infrastructure, which adds the software layer. Do you need it? Analyst Zeus Kerravala shares his opinion on HCI."
How to choose the right wearable device for business vs. fitness,"Wearables can help business professionals stay connected and increase productivity, but only when they know which ones to wear.",https://www.techrepublic.com/article/how-to-choose-the-right-wearable-device-for-business-vs-fitness/,2017-11-06 00:00:00,www.techrepublic.com,"How to choose the right wearable device for business vs. fitness Wearables can help business professionals stay connected and increase productivity, but only when they know which ones to wear."
How to sort and delete sets of Gmail messages: 4 steps,"After exporting email you need to keep, you can find emails you no longer need based on their date, sender, and subject.",https://www.techrepublic.com/article/how-to-sort-and-delete-sets-of-gmail-messages-4-steps/,2018-05-30 00:00:00,www.techrepublic.com,"How to sort and delete sets of Gmail messages: 4 steps After exporting email you need to keep, you can find emails you no longer need based on their date, sender, and subject."
Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages,"Google is adding support for a new feature called word-level timestamps, files up to three hours long, and more languages for its Cloud Speech API.",http://www.techrepublic.com/article/google-cloud-speech-api-gets-enterprise-upgrade-with-new-tools-and-30-more-languages/,2017-08-14 00:00:00,www.techrepublic.com,"Google Cloud Speech API gets enterprise upgrade with new tools and 30 more languages Google is adding support for a new feature called word-level timestamps, files up to three hours long, and more languages for its Cloud Speech API."
How Australia's backdoor proposal could threaten security for the rest of the world,Australia's Prime Minister recently suggested a proposal that would allow access to information protected by encryption. Access Now's US Policy Manager Amie Stepanovich tells why that's a bad idea.,http://www.techrepublic.com/article/how-australias-backdoor-proposal-could-threaten-security-for-the-rest-of-the-world/,2017-08-14 00:00:00,www.techrepublic.com,How Australia's backdoor proposal could threaten security for the rest of the world Australia's Prime Minister recently suggested a proposal that would allow access to information protected by encryption. Access Now's US Policy Manager Amie Stepanovich tells why that's a bad idea.
How one AI company is bringing medical care to millions of rural Chinese residents,Providing health services to a widely-dispersed population can be a challenge. Here's how AI can help when there aren't enough medical professionals to go around.,https://www.techrepublic.com/article/how-one-ai-company-is-bringing-medical-care-to-millions-of-rural-chinese-residents/,2017-12-11 00:00:00,www.techrepublic.com,How one AI company is bringing medical care to millions of rural Chinese residents Providing health services to a widely-dispersed population can be a challenge. Here's how AI can help when there aren't enough medical professionals to go around.
"A new slim version of Windows 10 called ""Lean"" could be perfect for low-end PCs",The latest build of Windows 10 contains a new slimmer installation option called Windows 10 Lean that cuts out some features in exchange for saving space.,https://www.techrepublic.com/article/a-new-slim-version-of-windows-10-called-lean-could-be-perfect-for-low-end-pcs/,2017-10-24 00:00:00,www.techrepublic.com,"A new slim version of Windows 10 called ""Lean"" could be perfect for low-end PCs The latest build of Windows 10 contains a new slimmer installation option called Windows 10 Lean that cuts out some features in exchange for saving space."
"Essential Phone PH-1 review: The many positives, plus a few drawbacks","With the Essential PH-1 phone, Jack Wallen says an underdog company has created a top dog product.",https://www.techrepublic.com/article/essential-phone-ph-1-review-the-many-positives-plus-a-few-drawbacks/,2017-12-11 00:00:00,www.techrepublic.com,"Essential Phone PH-1 review: The many positives, plus a few drawbacks With the Essential PH-1 phone, Jack Wallen says an underdog company has created a top dog product."
Fatal pedestrian crash causes Uber to stop self-driving car tests,"An Uber vehicle in autonomous driving mode killed a woman in Tempe, AZ, in the first known pedestrian fatality involving self-driving technology.",https://www.techrepublic.com/article/fatal-pedestrian-crash-causes-uber-to-stop-self-driving-car-tests/,2018-03-19 00:00:00,www.techrepublic.com,"Fatal pedestrian crash causes Uber to stop self-driving car tests An Uber vehicle in autonomous driving mode killed a woman in Tempe, AZ, in the first known pedestrian fatality involving self-driving technology."
IBM Watson Data Kits speed enterprise AI development,Watson Data Kits will cut the time needed to train AI systems to process data from months to minutes.,https://www.techrepublic.com/article/ibm-watson-data-kits-speed-enterprise-ai-development/,2018-03-19 00:00:00,www.techrepublic.com,IBM Watson Data Kits speed enterprise AI development Watson Data Kits will cut the time needed to train AI systems to process data from months to minutes.
How the NFL and Amazon unleashed 'Next Gen Stats' to grok football games,"Amazon Web Services' combination of cloud, data science, and machine learning has provided a whole new lens to understand football. Here's the inside story of the NFL's big data experiment.",https://www.techrepublic.com/article/how-the-nfl-and-amazon-unleashed-next-gen-stats-to-grok-football-games/,2018-02-02 00:00:00,www.techrepublic.com,"How the NFL and Amazon unleashed 'Next Gen Stats' to grok football games Amazon Web Services' combination of cloud, data science, and machine learning has provided a whole new lens to understand football. Here's the inside story of the NFL's big data experiment."
Microsoft Office users beware: New malware comes through PowerPoint email attachment,Trend Micro research has identified a new malware threat that presents itself in the form of a malicious PPSX file attachment. Here's what professionals should look out for.,http://www.techrepublic.com/article/microsoft-office-users-beware-new-malware-comes-through-powerpoint-email-attachment/,2017-08-14 00:00:00,www.techrepublic.com,Microsoft Office users beware: New malware comes through PowerPoint email attachment Trend Micro research has identified a new malware threat that presents itself in the form of a malicious PPSX file attachment. Here's what professionals should look out for.
Why Wikipedia's cofounder wants to replace the online encyclopedia with the blockchain,"Blockchain technology is breaking into many industries, including publication. Wikipedia cofounder Larry Sanger explains how tech can create transparency, and allow more content on the site.",https://www.techrepublic.com/article/why-wikipedias-cofounder-wants-to-replace-the-online-encyclopedia-with-the-blockchain/,2017-12-11 00:00:00,www.techrepublic.com,"Why Wikipedia's cofounder wants to replace the online encyclopedia with the blockchain Blockchain technology is breaking into many industries, including publication. Wikipedia cofounder Larry Sanger explains how tech can create transparency, and allow more content on the site."
iOS 11.4: Here's what business users need to know,"The release of iOS 11.4 brings new features, bug fixes, and small improvements. Here are the ones that stand out for professionals.",https://www.techrepublic.com/article/ios-11-4-heres-what-business-users-need-to-know/,2018-05-02 00:00:00,www.techrepublic.com,"iOS 11.4: Here's what business users need to know The release of iOS 11.4 brings new features, bug fixes, and small improvements. Here are the ones that stand out for professionals."
How to build a simple timesheet that accommodates projects in Excel 2016,This timesheet is useful if you need a more flexible structure and the ability to accommodate multiple projects.,https://www.techrepublic.com/article/how-to-build-a-simple-timesheet-that-accommodates-projects-in-excel-2016/,2018-03-19 00:00:00,www.techrepublic.com,How to build a simple timesheet that accommodates projects in Excel 2016 This timesheet is useful if you need a more flexible structure and the ability to accommodate multiple projects.
Two ways to speed up Excel macros,"When it comes to executing actions and performing tasks, faster is always better. Learn two tricks that will make your Excel macros more efficient.",http://www.techrepublic.com/blog/microsoft-office/two-ways-to-speed-up-excel-macros/,2017-08-14 00:00:00,www.techrepublic.com,"Two ways to speed up Excel macros When it comes to executing actions and performing tasks, faster is always better. Learn two tricks that will make your Excel macros more efficient."
"Report: Degree-holders boosting tech resume with online courses, but rewards divided","More than half of people using online coding courses are trying to boost their degree value, a new report from Codecademy found.",https://www.techrepublic.com/article/report-degree-holders-boosting-tech-resume-with-online-courses-but-rewards-divided/,2017-12-11 00:00:00,www.techrepublic.com,"Report: Degree-holders boosting tech resume with online courses, but rewards divided More than half of people using online coding courses are trying to boost their degree value, a new report from Codecademy found."
Worried about Gmail snooping? Here's Google's advice on keeping your account secure,Google issues a defense of Gmail security following a report into third-party firms accessing users' emails.,https://www.techrepublic.com/article/worried-about-gmail-snooping-google-gives-advice-on-keeping-your-account-secure/,2018-07-04 00:00:00,www.techrepublic.com,Worried about Gmail snooping? Here's Google's advice on keeping your account secure Google issues a defense of Gmail security following a report into third-party firms accessing users' emails.
Most iPhone X owners weren't satisfied with this one feature,"The majority of iPhone X owners were happy with the phone's looks, battery life, speed, and more. But one critical feature was lacking in a major way.",https://www.techrepublic.com/article/most-iphone-x-owners-werent-satisfied-with-this-one-feature/,2018-04-24 00:00:00,www.techrepublic.com,"Most iPhone X owners weren't satisfied with this one feature The majority of iPhone X owners were happy with the phone's looks, battery life, speed, and more. But one critical feature was lacking in a major way."
3 ways to reshape your workforce in the age of AI,Some 61% of senior executives say more jobs requiring collaboration with AI will rise in the next three years. Here's how to prepare workers for the change.,https://www.techrepublic.com/article/3-ways-to-reshape-your-workforce-in-the-age-of-ai/,2018-02-02 00:00:00,www.techrepublic.com,3 ways to reshape your workforce in the age of AI Some 61% of senior executives say more jobs requiring collaboration with AI will rise in the next three years. Here's how to prepare workers for the change.
